Song,Artist
Vampire,Olivia Rodrigo
Last Night,Morgan Wallen
Fast Car,Luke Combs
Calm Down,Rema & Selena Gomez
Flowers,Miley Cyrus
All My Life,Lil Durk Featuring J. Cole
Cruel Summer,Taylor Swift
Fukumean,Gunna
Karma,Taylor Swift Featuring Ice Spice
Favorite Song,Toosii
Flooded The Face,Lil Uzi Vert
Kill Bill,SZA
Snooze,SZA
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Ella Baila Sola,Eslabon Armado X Peso Pluma
Sure Thing,Miguel
Need A Favor,Jelly Roll
Anti-Hero,Taylor Swift
Something In The Orange,Zach Bryan
Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
You Proof,Morgan Wallen
Die For You,The Weeknd & Ariana Grande
Thinkin' Bout Me,Morgan Wallen
Cupid,Fifty Fifty
Suicide Doors,Lil Uzi Vert
La Bebe,Yng Lvcas x Peso Pluma
Memory Lane,Old Dominion
Next Thing You Know,Jordan Davis
Dance The Night,Dua Lipa
Religiously,Bailey Zimmerman
Aye,Lil Uzi Vert Featuring Travis Scott
Un x100to,Grupo Frontera X Bad Bunny
Thought You Should Know,Morgan Wallen
Eyes Closed,Ed Sheeran
Barbie World,Nicki Minaj & Ice Spice With Aqua
I'm Good (Blue),David Guetta & Bebe Rexha
Dancin' In The Country,Tyler Hubbard
Search & Rescue,Drake
Where She Goes,Bad Bunny
Chemical,Post Malone
Put It On Da Floor Again,Latto Featuring Cardi B
Sabor Fresa,Fuerza Regida
Tulum,Peso Pluma & Grupo Frontera
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Bury Me In Georgia,Kane Brown
Area Codes,Kaliii
Love You Anyway,Luke Combs
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
I Gotta,Lil Uzi Vert
Party In The U.S.A.,Miley Cyrus
Spin Again,Lil Uzi Vert
Crush Em,Lil Uzi Vert
X2,Lil Uzi Vert
TQM,Fuerza Regida
Princess Diana,Ice Spice & Nicki Minaj
Oh U Went,Young Thug Featuring Drake
Mojabi Ghost,Tainy & Bad Bunny
Stand By Me,Lil Durk Featuring Morgan Wallen
Luna,Peso Pluma & Junior H
Pluto To Mars,Lil Uzi Vert
Bye,Peso Pluma
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
Peaches & Eggplants,Young Nudy Featuring 21 Savage
Your Heart Or Mine,Jon Pardi
"Mama, I'm Sorry",Lil Uzi Vert
What It Is (Block Boy),Doechii Featuring Kodak Black
Amped,Lil Uzi Vert
"You, Me, & Whiskey",Justin Moore & Priscilla Block
Daylight,David Kushner
Patience,Lil Uzi Vert Featuring Don Toliver
Nakamura,Lil Uzi Vert
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
TQG,Karol G x Shakira
Popular,"The Weeknd, Playboi Carti & Madonna"
Mourning,Post Malone
All Alone,Lil Uzi Vert
Rubicon,Peso Pluma
Died And Came Back,Lil Uzi Vert
Por Las Noches,Peso Pluma
Attention,Doja Cat
Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon
El Azul,Junior H x Peso Pluma
Everything I Love,Morgan Wallen
Cowgirls,Morgan Wallen Featuring ERNEST
Waffle House,Jonas Brothers
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
Watermelon Moonshine,Lainey Wilson
Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
Fragil,Yahritza y Su Esencia x Grupo Frontera
See You Again,"Tyler, The Creator Featuring Kali Uchis"
Truck Bed,HARDY
Zoom,Lil Uzi Vert
That Fiya,Lil Uzi Vert
We Didn't Start The Fire,Fall Out Boy
Fight The Feeling,Rod Wave
Ain't That Some,Morgan Wallen
Lagunas,Peso Pluma & Jasiel Nunez
Dial Drunk,Noah Kahan
Save Me,Jelly Roll With Lainey Wilson
Jaded,Miley Cyrus
